weapon
Syria
North Korea
convict
smuggl
embezzle
investigat
brib
corrup
enforcement
indict
insider trading
violat
cartel
breach
suspected
illegal
scandal
allegation
prosecut
court case
fined
guilt
traffick
miscond
allegati
apprehead
arrest
breach
charge
conspir
convic
crime
criminal
derogatory
disciplin
drug
embez
evasion
extort
fraud
illegal
illicit
judgement
jail
kickback
lawsuit
launde
litigat
narcot
sanction
scam
terroris
verdict
